AirQualityStation,Countrycode,Latitude,Longitude,no2,o3,pm10,traffic,industrial,background,rural,suburban,urban,nox_traffic,nox_industrial,nox_urban,nox_port_shipping,nox_other,nox_total,nox_share_traffic,nox_share_industrial,nox_share_urban,nox_share_port_shipping,nox_share_other,nox_dom_modeled,nox_dom_modeled_sh,nox_dom_all,nox_nonmodeled_dominant,nox_present_traffic,nox_present_industrial,nox_present_urban,nox_present_port_shipping,pm10_traffic,pm10_industrial,pm10_urban,pm10_port_shipping,pm10_other,pm10_total,pm10_share_traffic,pm10_share_industrial,pm10_share_urban,pm10_share_port_shipping,pm10_share_other,pm10_dom_modeled,pm10_dom_modeled_sh,pm10_dom_all,pm10_nonmodeled_dominant,pm10_present_traffic,pm10_present_industrial,pm10_present_urban,pm10_present_port_shipping
STA-LT00002,LT,54.68611,25.21083,15.11046642,49.38199123,15.79772062,0,0,1,0,0,1,0.00013459999,0.00021212395,6.282664e-05,0.0,3.996137e-05,0.00044951192,0.29943585,0.47189838,0.13976635,0.0,0.08889947,industrial,0.47189838,industrial,False,True,True,True,False,1.1560769e-05,0.00016083676,0.0001365565,0.0,2.1578531e-05,0.00033053255,0.034976188,0.48659885,0.41314083,0.0,0.06528413,industrial,0.48659885,industrial,False,True,True,True,False
STA_PL0143A,PL,52.29086,21.04246,26.23304948,40.17700322,30.47488064,0,0,1,0,0,1,0.0002176289,0.0001238282,0.00018913888,0.0,2.205099e-05,0.000552647,0.3937937,0.22406383,0.34224176,0.0,0.03990068,traffic,0.3937937,traffic,False,True,True,True,False,2.6994945e-05,0.00017943277,0.00039034607,0.0,1.2618954e-05,0.0006093927,0.04429811,0.29444522,0.6405493,0.0,0.020707427,urban,0.6405493,urban,False,True,True,True,False
STA-RO0127A,RO,45.29934,21.87213,13.22473405,49.56526114,15.52987903,0,1,0,0,0,1,8.552072e-06,2.4511505e-06,7.0184583e-06,0.0,9.260497e-07,1.894773e-05,0.45135075,0.1293638,0.37041155,0.0,0.048873913,traffic,0.45135075,traffic,False,True,True,True,False,9.192184e-07,3.31335e-06,3.0010471e-05,0.0,3.2624348e-06,3.7505477e-05,0.02450891,0.08834309,0.8001624,0.0,0.08698556,urban,0.8001624,urban,False,True,True,True,False
STA_ES2014A,ES,42.0616,-7.4089,1.794391228,62.68480148,8.961981535,0,0,1,1,0,0,2.712534e-06,0.0,1.2852028e-06,0.0,2.5173379e-06,6.5150743e-06,0.41634738,0.0,0.19726601,0.0,0.38638666,traffic,0.41634738,traffic,False,True,False,True,False,2.866897e-07,0.0,1.3562029e-06,0.0,5.7835077e-06,7.4264003e-06,0.038604125,0.0,0.18261915,0.0,0.7787767,urban,0.18261915,other,True,True,False,True,False
STA-MT00004,MT,35.85227,14.53894,13.72594288,73.07274902,31.87537092,0,0,1,0,0,1,0.0001603409,5.6001816e-05,1.8619176e-05,0.00036220415,3.6613845e-05,0.0006337799,0.25299147,0.08836161,0.029377984,0.57149833,0.0577706,port_shipping,0.57149833,port_shipping,False,True,True,True,True,2.056874e-05,0.0002306341,1.1569254e-06,1.6108714e-05,4.1335697e-05,0.0003098042,0.066392705,0.7444512,0.003734376,0.051996436,0.13342524,industrial,0.7444512,industrial,False,True,True,True,True
STA.IT2006A,IT,39.16556,8.52139,7.225189263,53.80712941,12.93976721,0,0,1,0,1,0,8.733589e-06,5.464331e-06,1.780617e-05,0.0,5.162185e-06,3.716627e-05,0.23498696,0.14702392,0.47909483,0.0,0.13889435,urban,0.47909483,urban,False,True,True,True,False,1.0751755e-06,3.531211e-05,2.6044245e-05,0.0,5.3001877e-06,6.7731715e-05,0.015874034,0.52135265,0.38452068,0.0,0.07825267,industrial,0.52135265,industrial,False,True,True,True,False
STA_ES0961A,ES,42.4275,-8.6769,11.09482279,56.65605848,12.77959727,0,1,0,1,0,0,7.7634664e-05,0.00046956012,2.2709093e-05,1.9745034e-05,9.667316e-06,0.00059931626,0.12953873,0.78349304,0.037891667,0.032945935,0.016130574,industrial,0.78349304,industrial,False,True,True,True,True,8.006734e-06,0.00017428276,2.3442992e-05,8.025657e-07,8.423534e-06,0.00021495858,0.0372478,0.8107737,0.10905818,0.003733583,0.03918678,industrial,0.8107737,industrial,False,True,True,True,True
STA.03.2501,AT,48.40861,15.61917,17.57808045,55.87749849,19.58209389,0,0,1,0,1,0,4.656115e-05,7.735734e-05,1.1129351e-05,5.59157e-06,3.2128875e-05,0.0001727683,0.26950052,0.44775194,0.06441779,0.03236456,0.1859651,industrial,0.44775194,industrial,False,True,True,True,True,4.6815894e-06,7.6592805e-05,2.046592e-05,4.7868065e-07,7.759209e-06,0.0001099782,0.04256834,0.6964362,0.18609071,0.004352505,0.070552245,industrial,0.6964362,industrial,False,True,True,True,True
STA-FR15048,FR,45.2797,5.8822,14.77086623,47.3918755,17.04575281,0,0,1,0,1,0,2.4391478e-05,8.940143e-06,1.5998288e-05,0.0,6.9526095e-06,5.628252e-05,0.43337575,0.15884404,0.2842497,0.0,0.12353053,traffic,0.43337575,traffic,False,True,True,True,False,2.4776857e-06,2.060786e-05,1.9723295e-05,0.0,4.052782e-06,4.6861624e-05,0.052872382,0.43975985,0.42088372,0.0,0.08648403,industrial,0.43975985,industrial,False,True,True,True,False
STA-RO0105A,RO,46.55584,26.92694,17.22963435,48.53924863,25.04110447,0,1,0,0,0,1,0.00011268183,1.4441361e-05,4.31332e-05,0.0,1.4063977e-05,0.00018432038,0.6113368,0.07834923,0.23401211,0.0,0.0763018,traffic,0.6113368,traffic,False,True,True,True,False,1.1302538e-05,1.9521152e-05,0.00016493742,0.0,1.1392057e-05,0.00020715319,0.054561254,0.094235346,0.7962099,0.0,0.05499339,urban,0.7962099,urban,False,True,True,True,False
STA.DE_DETH009,DE,50.87792,12.0749,17.98098051,51.27502826,20.45416754,0,0,1,0,0,1,3.673969e-05,4.0106064e-05,3.2503238e-05,0.0,9.197316e-06,0.000118546304,0.30991846,0.3383156,0.27418178,0.0,0.07758416,industrial,0.3383156,industrial,False,True,True,True,False,3.7768993e-06,3.610629e-05,9.663679e-06,0.0,6.1185724e-06,5.566544e-05,0.067849986,0.64863026,0.17360283,0.0,0.109916896,industrial,0.64863026,industrial,False,True,True,True,False
