run,sample_id,pollutant,source_category,signed_shap_sum,positive_shap_sum,abs_shap_sum,source_rank_abs,source_rank_positive
1,4,no2,geographic_context,0.26820456333196296,0.26820456333196296,0.26820456333196296,1,1
1,4,no2,industrial,-0.03978997431993288,0.0018754970483197415,0.04354096841657236,6,6
1,4,no2,meteorological_condition,0.17267556201613787,0.20403226205160674,0.2353889620870756,3,3
1,4,no2,port_shipping,0.07725152829848485,0.07725152829848485,0.07725152829848485,5,4
1,4,no2,traffic,-0.06473329812653425,0.020153091838809672,0.1050394818041536,4,5
1,4,no2,urban_anthropogenic,0.1874102723056891,0.22272693129507642,0.2580435902844637,2,2
1,85,no2,geographic_context,0.22210153895342172,0.48426207848077363,0.7464226180081255,1,2
1,85,no2,industrial,0.05049540102720616,0.07352845449364105,0.09656150796007594,5,4
1,85,no2,meteorological_condition,0.48940902538008246,0.518875161635271,0.5483412978904596,2,1
1,85,no2,port_shipping,-0.03486504197662574,0.0,0.03486504197662574,6,6
1,85,no2,traffic,-0.1860799689318326,0.04705122201295751,0.2801824129577476,4,5
1,85,no2,urban_anthropogenic,0.1168096261139318,0.23642263141314,0.3560356367123482,3,3
1,127,no2,geographic_context,0.33404076635469676,0.3340407663546967,0.3340407663546967,3,1
1,127,no2,industrial,0.05100847481510078,0.07362959696431885,0.09625071911353693,5,5
1,127,no2,meteorological_condition,0.2739306646603181,0.3044553993160286,0.3349801339717391,2,2
1,127,no2,port_shipping,-0.029064234237754682,0.0,0.029064234237754682,6,6
1,127,no2,traffic,0.06193430802845329,0.10709616053740885,0.1522580130463644,4,4
1,127,no2,urban_anthropogenic,0.06065971107141818,0.20821705801833976,0.35577440496526136,1,3
1,197,no2,geographic_context,-0.08965932713637628,0.17701828114853008,0.44369588943343646,3,3
1,197,no2,industrial,0.12289758995686029,0.126331502103836,0.12976541425081176,5,4
1,197,no2,meteorological_condition,-0.2504688223856857,0.002719541158158046,0.25590790470200175,4,6
1,197,no2,port_shipping,0.09594003140789814,0.10633568839855011,0.11673134538920207,6,5
1,197,no2,traffic,0.3631409582157805,0.46502257094798566,0.5669041836801908,2,2
1,197,no2,urban_anthropogenic,0.7664754654387674,0.7664754654387674,0.7664754654387674,1,1
1,297,no2,geographic_context,0.2986367789977122,0.2986367789977122,0.2986367789977122,2,1
1,297,no2,industrial,0.05964569069058384,0.06895532541635108,0.07826496014211831,5,5
1,297,no2,meteorological_condition,0.007912014936412567,0.11493940325694996,0.22196679157748736,4,4
1,297,no2,port_shipping,-0.029836762758842075,0.0,0.029836762758842075,6,6
1,297,no2,traffic,0.07217742020626353,0.16877222069138326,0.265367021176503,3,3
1,297,no2,urban_anthropogenic,0.05029185211722193,0.20064868499155072,0.3510055178658796,1,2
1,332,no2,geographic_context,0.11593709286594234,0.18495755724719048,0.25397802162843863,3,3
1,332,no2,industrial,0.027324211951906416,0.028110769553080964,0.02889732715425551,5,5
1,332,no2,meteorological_condition,0.010109163870763133,0.113863424740613,0.21761768561046285,4,4
1,332,no2,port_shipping,-0.018361430734849797,0.0,0.018361430734849797,6,6
1,332,no2,traffic,0.5383499571040206,0.6723445792555166,0.8063392014070128,2,2
1,332,no2,urban_anthropogenic,0.7349845461487975,0.8199678691988944,0.9049511922489913,1,1
1,376,no2,geographic_context,0.3096038828479779,0.3096038828479779,0.3096038828479779,3,2
1,376,no2,industrial,0.06298242262242784,0.06677211349708947,0.07056180437175111,5,4
1,376,no2,meteorological_condition,0.32626436752957816,0.3440134758190373,0.3617625841084965,2,1
1,376,no2,port_shipping,-0.024390799364430938,0.0,0.02439079936443094,6,6
1,376,no2,traffic,0.06783530404615916,0.13867604528973163,0.20951678653330408,4,3
1,376,no2,urban_anthropogenic,-0.3643221568368994,0.0492755007081413,0.462873158253182,1,5
1,396,no2,geographic_context,0.38612016052859677,0.3861201605285968,0.3861201605285968,3,3
1,396,no2,industrial,0.04137595952714773,0.061887705756348686,0.08239945198554964,5,5
1,396,no2,meteorological_condition,0.536480354329949,0.536480354329949,0.536480354329949,1,1
1,396,no2,port_shipping,-0.020012981632036724,0.0,0.020012981632036724,6,6
1,396,no2,traffic,0.16944924577062453,0.24704468951524072,0.3246401332598569,4,4
1,396,no2,urban_anthropogenic,0.4532900239708858,0.4532900239708858,0.4532900239708858,2,2
1,430,no2,geographic_context,0.035097082125172346,0.1255309673874097,0.21596485264964704,4,3
1,430,no2,industrial,0.009921198521050664,0.04121398045073099,0.07250676238041132,5,5
1,430,no2,meteorological_condition,-0.13496307546579,0.0841315677689916,0.30322621100377317,2,4
1,430,no2,port_shipping,0.029509038817974717,0.03063057942985449,0.031752120041734264,6,6
1,430,no2,traffic,0.030681342679321016,0.14890270778486842,0.26712407289041584,3,2
1,430,no2,urban_anthropogenic,0.7101418286177388,0.8098434226434643,0.9095450166691899,1,1
1,460,no2,geographic_context,0.3265020428672831,0.3265020428672831,0.3265020428672831,3,3
1,460,no2,industrial,0.06982887294595885,0.07368840508694076,0.07754793722792266,5,5
1,460,no2,meteorological_condition,0.4734102782184571,0.47341027821845705,0.47341027821845705,1,1
1,460,no2,port_shipping,-0.03588709806845965,0.0,0.03588709806845965,6,6
1,460,no2,traffic,-0.032247783172353585,0.07438949203947062,0.18102676725129485,4,4
1,460,no2,urban_anthropogenic,0.35053636165326785,0.35737170905219084,0.3642070564511138,2,2
1,568,no2,geographic_context,0.15167193292246423,0.4231443692699805,0.6946168056174968,1,2
1,568,no2,industrial,-0.14125888889439125,0.0,0.14125888889439125,5,5
1,568,no2,meteorological_condition,0.5505887325753298,0.5505887325753299,0.5505887325753299,2,1
1,568,no2,port_shipping,-0.032609736489665926,0.0,0.032609736489665926,6,6
1,568,no2,traffic,-0.2227724384161367,0.04557583463697647,0.31392410769008966,4,4
1,568,no2,urban_anthropogenic,0.08318007974059537,0.2484788350091874,0.41377759027777944,3,3
1,644,no2,geographic_context,0.15410575753172534,0.21571296428428455,0.2773201710368438,3,4
