run,sample_id,pollutant,feature_name,feature_value_raw,feature_value_norm,shap_value,abs_shap,shap_rank_abs,shap_sign,source_category
4,2746,pm10,Altitude,257.0,0.024210546615601698,0.099546437074452,0.099546437074452,5,positive,geographic_context
4,2746,pm10,num_buildings_1km,831.0,-0.5691993932054509,0.08555946211003218,0.08555946211003218,6,positive,urban_anthropogenic
4,2746,pm10,RH_3yr,68.82766423357664,-1.2933847451012266,0.08057428689853606,0.08057428689853606,7,positive,meteorological_condition
4,2746,pm10,PopulationDensity,333.8,-0.14203129975597878,0.05854708138502148,0.05854708138502148,8,positive,urban_anthropogenic
4,2746,pm10,num_industrial_landuse_1km,3.0,-0.11165838218537799,0.05578850062985908,0.05578850062985908,9,positive,industrial
4,2746,pm10,Temp_3yr,11.799315693430655,-0.2020549111784987,0.040602764959649644,0.040602764959649644,10,positive,meteorological_condition
4,2746,pm10,Precip_3yr,2.4016788321167883,0.4331579279360197,0.04041307201578354,0.04041307201578354,11,positive,meteorological_condition
4,2746,pm10,ship_density_5km,0.0,-0.332199815255663,0.039855514172184435,0.039855514172184435,12,positive,port_shipping
4,2746,pm10,urban,0.0,-1.031631389055225,-0.036421403884694406,0.036421403884694406,13,negative,urban_anthropogenic
4,2746,pm10,rural,0.0,-0.5536674263920707,0.028635389989016966,0.028635389989016966,14,positive,geographic_context
4,2746,pm10,num_buildings_500m,413.0,-0.3165312012828853,0.027090046464764102,0.027090046464764102,15,positive,urban_anthropogenic
4,2746,pm10,num_roads_500m,354.0,1.229944494994466,0.026386076050994904,0.026386076050994904,16,positive,traffic
4,2746,pm10,ship_density_10km,0.0,-0.3187453966742202,0.023854832730207134,0.023854832730207134,17,positive,port_shipping
4,2746,pm10,num_factory_1km,0.0,-0.1735841355973231,0.021838035623700236,0.021838035623700236,18,positive,industrial
4,2746,pm10,Latitude,45.1546,-0.14559755210109074,-0.016463286118813186,0.016463286118813186,19,negative,geographic_context
4,2746,pm10,traffic,0.0,-0.3281059132780248,-0.011899135665682922,0.011899135665682922,20,negative,traffic
