run,sample_id,station_id,pollutant,Latitude,Longitude,y_true,y_pred_fusion,y_pred_lgbm,relerr_fusion,relerr_lgbm,agreement_error,alert_flag,fusion_pass,lgbm_diag_pass,agreement_pass,final_report_eligible_oracle,final_report_eligible_deployable
1,4,STA-FR16029,no2,48.61036,7.78163,20.13982866747711,21.30663341212109,22.97733744705465,0.057935187201907386,0.14089041297311525,0.07841238931716885,True,True,True,True,True,True
1,27,STA.DE_DENI031,no2,53.59617,8.09059,12.117099771497909,13.111582096121984,13.569258963363408,0.08207263640286186,0.11984379249586276,0.034906303719650186,False,True,True,True,False,False
1,42,STA-RO0192A,no2,43.75801,24.90175,12.511370904546194,16.18463908119979,15.391556460326026,0.29359437920451353,0.23020543275806962,0.04900218141441253,False,False,False,True,False,False
1,50,STA.DE_DENI042,no2,51.55107,9.94976,14.775443772244907,16.94085734420227,17.645420642102955,0.14655489228414648,0.19423963923891008,0.04158958919076862,False,True,True,True,False,False
1,55,STA_PL0241A,no2,50.00763,18.45555,21.063310438815616,27.558336169091675,22.003986673583405,0.3083573090782257,0.04465946780083104,0.20154879668397097,True,False,True,False,False,False
1,58,STA_ES1421A,no2,40.33639,-1.10667,10.23626240896574,15.119664144445252,12.072889550510785,0.47706882996976996,0.17942360857632414,0.20151073217050927,False,False,True,False,False,False
1,62,STA_ES2075A,no2,43.3457,-5.9697,13.894320622024718,11.964586118624965,11.39035644452468,0.138886567721199,0.18021494132852417,0.04799411094767868,False,True,True,True,False,False
1,85,STA.IT1921A,no2,44.92784,11.17795,23.533024576127065,23.275702203283004,23.48853020820352,0.010934521905686343,0.0018907203262675453,0.009143784491239126,True,True,True,True,True,True
1,110,STA.DE_DEHE045,no2,49.67251,9.00198,17.080499894151565,15.232546998404294,17.142029734355766,0.10819079688048885,0.003602344225841196,0.125355446787589,False,True,True,True,False,False
1,120,STA-LT00044,no2,54.88361,23.83583,12.707404301737192,11.68061070269476,11.113521529029281,0.08080278032029196,0.12542945306585712,0.0485496167635442,False,True,True,True,False,False
1,127,STA.IT1871A,no2,45.22667,11.66583,23.16912486731414,22.72776942479596,24.339492181165816,0.01904929274865835,0.05051409235562597,0.07091425144001717,True,True,True,True,True,True
1,128,STA-CH0046A,no2,46.1956,6.21125,18.686322426517297,19.40312319641409,23.017150624877676,0.03835964900701927,0.23176460820867364,0.18626008761666255,False,True,False,True,False,False
1,132,STA_ES1549A,no2,36.76972,-2.81097,16.943820211453204,17.819155398338168,16.196247978795274,0.05166102894414977,0.04412064238685683,0.09107656240449435,False,True,True,True,False,False
1,138,STA-RS0031A,no2,62.24337,25.74387,16.37831231393621,15.790227798732287,17.409241161340017,0.03590629507928371,0.06294475444195481,0.10253261588236144,False,True,True,True,False,False
1,152,STA-FR29439,no2,45.48178,4.42967,14.093380496348844,11.83374122738995,13.519354043409095,0.16033337551206842,0.04073021747203659,0.1424412434077292,False,True,True,True,False,False
1,157,STA.DE_DEMV004,no2,53.81777,12.06471,6.591002276427476,6.982520263905926,6.589169891309167,0.05940188919137278,0.0002780131213248729,0.056333581166492466,False,True,True,True,False,False
1,185,STA_PL0209A,no2,52.73821,15.22867,21.98368373355201,14.610766596833477,15.36809434549605,0.3353813320245324,0.3009317940172954,0.051833539542570646,True,False,False,True,False,False
1,197,STA-PT03071,no2,38.76889,-9.10806,30.43117738210198,30.3456481843391,26.639702549444443,0.0028105780023179577,0.12459178899997354,0.12212445129400767,True,True,True,True,True,True
1,199,STA.DE_DEBY089,no2,48.17319,11.64804,19.86750467936241,21.099150102149487,18.939612173290154,0.06199295996374091,0.046704028542098326,0.10235189177671236,False,True,True,True,False,False
1,206,STA.06.151,no2,46.87139,15.49583,10.890656223521194,9.014480504003712,8.645825623875321,0.17227389050649264,0.2061244567371739,0.04089585412666843,False,True,False,True,False,False
1,232,STA.IT1902A,no2,43.06694,12.46806,11.28276964505222,10.35943365054747,11.981235088266228,0.0818359341486066,0.06190549524347048,0.15655309844737694,False,True,True,True,False,False
1,236,STA-FR33120,no2,45.9225,6.87,22.20770467499109,16.37043031595895,19.9167575233455,0.26284906260380964,0.10316001514528014,0.21663005411428077,True,False,True,False,False,False
1,238,STA_ES1922A,no2,42.0194,-4.5383,6.024276613103696,13.141138081193535,16.986087567958048,1.181363657969485,1.819606176916698,0.29258877428136804,False,False,False,False,False,False
1,259,STA.DE_DENW065,no2,50.93033,8.19191,15.26927083575098,8.614303801355653,9.515766552336132,0.4358405258262362,0.37680281799545723,0.10464719735007963,False,False,False,True,False,False
1,283,STA-PT02020,no2,40.23306,-7.30194,4.990499124647107,2.480195250187217,2.6218308626733595,0.503016593476957,0.4746355420701306,0.0571066378360272,False,False,False,True,False,False
1,286,STA-ME0009A,no2,42.78121,18.94291,16.06074190314262,15.07352604453416,15.887072754811372,0.06146763729517464,0.010813270599232611,0.05397189133676487,False,True,True,True,False,False
1,289,STA-MK0048A,no2,42.006,21.387,17.244617744753707,32.202985463759305,26.309968275514223,0.8674223999474923,0.5256915902506178,0.18299598939505232,False,False,False,True,False,False
1,294,STA_ES1640A,no2,37.34246,-5.83372,17.137216829967855,21.41764917032796,16.45939958581709,0.24977406660206167,0.03955235266498722,0.23150297881734874,False,False,True,False,False,False
1,297,STA_PL0138A,no2,51.39908,21.14747,23.16863769399839,19.87757105208296,21.698799485428047,0.14204834500681354,0.06344085601186136,0.09162228260469577,True,True,True,True,True,True
1,300,STA-CH0003R,no2,47.4798,8.90468,11.979667589587626,12.992766741365028,13.988215575668292,0.08456821888883423,0.16766308158248114,0.07661561646973165,False,True,True,True,False,False
1,311,STA.DE_DEBW112,no2,48.64561,8.90444,13.83899509794954,18.96172541430081,20.30009876515163,0.3701663506917937,0.46687664941008866,0.07058288847151017,False,False,False,True,False,False
1,318,STA_ES1443A,no2,42.33611,-3.63611,7.868540068690804,7.595264243602768,7.7502377404409355,0.0347301815019164,0.015034851073612585,0.020403963794236167,False,True,True,True,False,False
1,325,STA.IT1365A,no2,42.58194,12.62361,18.234553520389014,24.100108786148567,22.59701261835855,0.3216725463546032,0.23924134422590765,0.062368854037299006,False,False,False,True,False,False
1,332,STA-CH0013A,no2,47.3868,8.53981,28.48426238211677,27.509816064998155,30.23652213660217,0.034209989491892245,0.06151676776332281,0.09911756822257112,True,True,True,True,True,True
1,333,STA-FR31001,no2,44.86121,-0.58037,15.116741372522904,15.446219124507431,15.593605457004285,0.021795553925758753,0.03154542850304388,0.00954190350488991,False,True,True,True,False,False
1,338,STA.CZ_PPLV,no2,49.76862,13.42338,12.762600663250112,12.334199528999116,11.763565234275797,0.033566915178103666,0.0782783583496624,0.046264396235771034,False,True,True,True,False,False
1,343,STA_ES1990A,no2,40.56972,-6.22389,1.1307648254479332,1.710891238592268,1.756187869826313,0.5130389581972875,0.553097359214066,0.02647545907509619,False,False,False,True,False,False
1,347,STA.DE_DENI054,no2,52.36292,9.70612,18.735106751122,20.794254102742823,22.20926684707564,0.10990849307001788,0.18543583125787216,0.06804825682425847,False,True,True,True,False,False
1,353,STA.DE_DENI029,no2,53.36235,7.20726,14.619088203075025,16.676424599103004,18.929733531373042,0.14072946041791706,0.2948641711076523,0.13511942668094723,False,True,False,True,False,False
1,355,STA_ES1989A,no2,43.0414,-5.0897,4.330536313475696,2.052465654071126,2.318644608896312,0.5260481587592796,0.4645825722954879,0.12968740938506726,False,False,False,True,False,False
1,365,STA.DE_DEUB029,no2,50.65455,10.76939,4.04423275575936,6.625856874245022,6.055046754888297,0.6383470655653339,0.49720530829816834,0.0861488754328514,False,False,False,True,False,False
1,376,STA.IT1878A,no2,45.3189,8.4024,21.132627859209997,21.698422855357983,20.971788669418988,0.02677352762986674,0.007610941279354555,0.03348788022281022,True,True,True,True,True,True
1,396,STA.IT1771A,no2,44.65061,10.90633,32.23459331136036,32.64709780345701,31.660433194145156,0.012796950406174257,0.017811923714723527,0.030222123110286162,True,True,True,True,True,True
1,405,STA_PL0503A,no2,51.74795,18.04906,18.17714833167678,15.809009026781766,13.936413424663618,0.13028112333029246,0.23330034102708808,0.11845116906197628,False,True,False,True,False,False
1,417,STA.DE_DEST090,no2,51.32136,12.03214,14.426979793538436,17.30909585661726,16.10138448062227,0.19977265528381363,0.11606065232538547,0.0697732212763472,False,True,True,True,False,False
1,430,STA-CH0017A,no2,47.5659,7.58208,23.952875791889525,23.494251154013888,23.690993757158886,0.019146955115905476,0.010933218912694444,0.00837407422656432,True,True,True,True,True,True
1,437,STA_ES1417A,no2,42.13611,-0.40389,14.082267424524169,12.339190241778232,15.409696428020629,0.12377816220650652,0.09426244812267431,0.24884178974385285,False,True,True,False,False,False
1,438,STA-BETWOL1,no2,50.85671,4.42576,30.52169407697852,45.73559471799802,36.90146986812156,0.49846186773460294,0.20902430163156785,0.19315644417472638,True,False,False,True,False,False
